service_id,date,exception_type
64,20200607,1
4244,20200521,1
4244,20200411,1
4244,20200418,1
4244,20200425,1
3002,20200413,1
3002,20200405,1
3002,20200412,1
3002,20200419,1
3002,20200426,1
1579,20200413,2
1579,20200601,2
13995,20200413,1
13995,20200601,1
13995,20200521,1
13995,20200501,1
13995,20200508,1
13995,20200530,1
13995,20200531,1
13995,20200606,1
13995,20200607,1
13995,20200613,1
13995,20200614,1
13995,20200620,1
13995,20200621,1
13995,20200627,1
13995,20200628,1
12194,20200525,1
12194,20200526,1
12194,20200527,1
12194,20200528,1
12194,20200529,1
12194,20200531,1
12194,20200601,1
12194,20200602,1
12194,20200603,1
12194,20200604,1
12194,20200605,1
12194,20200607,1
12194,20200608,1
12194,20200609,1
12194,20200610,1
12194,20200611,1
12194,20200612,1
12194,20200614,1
12194,20200615,1
12194,20200616,1
12194,20200617,1
12194,20200618,1
12194,20200619,1
12194,20200621,1
12194,20200622,1
12194,20200623,1
12194,20200624,1
12194,20200625,1
12194,20200626,1
12194,20200628,1
12194,20200629,1
12194,20200630,1
12194,20200701,1
12194,20200521,2
12194,20200501,2
12194,20200508,2
13996,20200502,1
13997,20200509,1
7248,20200525,1
7248,20200526,1
7248,20200527,1
7248,20200528,1
7248,20200529,1
7248,20200602,1
7248,20200603,1
7248,20200604,1
7248,20200605,1
7248,20200608,1
7248,20200609,1
7248,20200610,1
7248,20200611,1
7248,20200612,1
7248,20200615,1
7248,20200616,1
7248,20200617,1
7248,20200618,1
7248,20200619,1
7248,20200622,1
7248,20200623,1
7248,20200624,1
7248,20200625,1
7248,20200626,1
7248,20200629,1
7248,20200630,1
7248,20200701,1
7248,20200521,2
7248,20200501,2
7248,20200508,2
7248,20200413,2
7248,20200601,2
13998,20200520,1
13998,20200430,1
13998,20200507,1
13998,20200529,1
13998,20200605,1
13998,20200612,1
13998,20200619,1
13998,20200626,1
13998,20200521,2
13998,20200501,2
13998,20200508,2
6721,20200525,1
6721,20200526,1
6721,20200527,1
6721,20200528,1
6721,20200529,1
6721,20200602,1
6721,20200603,1
6721,20200604,1
6721,20200605,1
6721,20200608,1
6721,20200609,1
6721,20200610,1
6721,20200611,1
6721,20200612,1
6721,20200615,1
6721,20200616,1
6721,20200617,1
6721,20200618,1
6721,20200619,1
6721,20200622,1
6721,20200623,1
6721,20200624,1
6721,20200625,1
6721,20200626,1
6721,20200629,1
6721,20200630,1
6721,20200701,1
6721,20200521,2
6721,20200501,2
6721,20200508,2
6721,20200413,2
6721,20200601,2
9089,20200413,1
9089,20200601,1
9089,20200607,2
13999,20200413,1
90,20200601,1
9059,20200414,1
9059,20200602,1
9059,20200413,2
9059,20200601,2
4472,20200507,1
4472,20200520,1
4472,20200430,1
4472,20200508,2
4472,20200522,2
4472,20200501,2
9383,20200403,1
9383,20200410,1
9383,20200417,1
9383,20200424,1
4775,20200404,1
8607,20200521,1
8607,20200522,1
8607,20200501,1
8611,20200414,1
8611,20200415,1
8611,20200416,1
8611,20200417,1
8611,20200420,1
8611,20200421,1
8611,20200422,1
8611,20200423,1
8611,20200424,1
8611,20200427,1
8611,20200428,1
8611,20200429,1
8611,20200430,1
8611,20200504,1
8611,20200505,1
8611,20200506,1
8611,20200507,1
8611,20200511,1
8611,20200512,1
8611,20200513,1
8611,20200514,1
8611,20200515,1
8611,20200601,2
8611,20200521,2
8611,20200501,2
8611,20200508,2
3297,20200413,2
3297,20200410,2
3297,20200411,2
3297,20200412,2
