trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN009561F1201215028,09:52:00,09:55:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009561F1201215028,10:18:00,10:21:00,StopPoint:OCETGV INOUI-80140087,3,"",0,0,
OCESN009561F1201215028,10:58:00,10:58:00,StopPoint:OCETGV INOUI-80110684,4,"",0,0,
OCESN009561F1801815029,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009561F1801815029,09:05:00,09:11:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009561F1801815029,09:52:00,09:55:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009561F1801815029,10:24:00,10:27:00,StopPoint:OCETGV INOUI-80140087,3,"",0,0,
OCESN009561F1801815029,11:03:00,11:03:00,StopPoint:OCETGV INOUI-80110684,4,"",0,0,
OCESN009591F0800815217,17:24:00,17:24:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009591F0800815217,19:13:00,19:18:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009591F0800815217,19:39:00,19:48:00,StopPoint:OCETGV INOUI-80143099,2,"",0,0,
OCESN009591F0800815217,20:00:00,20:01:00,StopPoint:OCETGV INOUI-80143198,3,"",0,0,
OCESN009591F0800815217,20:16:00,20:17:00,StopPoint:OCETGV INOUI-80143313,4,"",0,0,
OCESN009591F0800815217,20:29:00,20:29:00,StopPoint:OCETGV INOUI-80143503,5,"",0,0,
OCESN009591F0700715215,17:24:00,17:24:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009591F0700715215,19:13:00,19:18:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009591F0700715215,19:38:00,19:39:00,StopPoint:OCETGV INOUI-80143099,2,"",0,0,
OCESN009591F0700715215,19:51:00,19:52:00,StopPoint:OCETGV INOUI-80143198,3,"",0,0,
OCESN009591F0700715215,20:07:00,20:08:00,StopPoint:OCETGV INOUI-80143313,4,"",0,0,
OCESN009591F0700715215,20:20:00,20:20:00,StopPoint:OCETGV INOUI-80143503,5,"",0,0,
OCESN009593F0800815221,10:55:00,10:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009593F0800815221,12:41:00,12:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009593F0800815221,13:25:00,13:25:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009577F1101115139,15:54:00,15:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009577F1101115139,17:41:00,17:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009577F1101115139,18:25:00,18:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009577F1101115139,19:28:00,19:38:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009577F1101115139,20:37:00,20:40:00,StopPoint:OCETGV INOUI-80291039,4,"",0,0,
OCESN009577F1101115139,21:20:00,21:24:00,StopPoint:OCETGV INOUI-80021402,5,"",0,0,
OCESN009577F1101115139,21:52:00,21:52:00,StopPoint:OCETGV INOUI-80203471,6,"",0,0,
OCESN009577F2502515130,15:54:00,15:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009577F2502515130,17:41:00,17:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009577F2502515130,18:25:00,18:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009577F2502515130,19:28:00,19:38:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009577F2502515130,20:37:00,20:40:00,StopPoint:OCETGV INOUI-80291039,4,"",0,0,
OCESN009577F2502515130,21:24:00,21:27:00,StopPoint:OCETGV INOUI-80021402,5,"",0,0,
OCESN009577F2502515130,21:52:00,21:52:00,StopPoint:OCETGV INOUI-80203471,6,"",0,0,
OCESN009579F1801815170,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009579F1801815170,19:41:00,19:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009577F1201215132,15:54:00,15:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009577F1201215132,17:41:00,17:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009577F1201215132,18:25:00,18:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009577F1201215132,19:04:00,19:23:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
