route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1209972,5639,OCESN009588F1001015205,"9588",0,,
OCE1209972,13988,OCESN009588F0700715206,"9588",0,,
OCE1209972,34,OCESN009584F1501515192,"9584",0,,
OCE1209972,13989,OCESN009590F0500515211,"9590",0,,
OCE1209972,1916,OCESN009590F0300315209,"9590",0,,
OCE1209972,8612,OCESN009584F0600615186,"9584",0,,
OCE1209972,13990,OCESN009588F07007-1330754423,"9588",0,,
OCE1209972,13991,OCESN009588F02002-1329854421,"9588",0,,
OCE1209972,8983,OCESN009588F0300315202,"9588",0,,
OCE1209972,13992,OCESN009588F0200215203,"9588",0,,
OCE1209972,13993,OCESN009584F07007-1328554420,"9584",0,,
OCE1209972,13994,OCESN009590F05005-1331554424,"9590",0,,
OCE1209972,8967,OCESN009592F0200215220,"9592",0,,
OCE1209972,7539,OCESN009596F0400415227,"9596",0,,
OCE1209972,1516,OCESN009596F0300315226,"9596",0,,
OCE1209972,81,OCESN009576F4704715109,"9576",0,,
OCE1209972,4232,OCESN009576F3603615111,"9576",0,,
OCE1209972,2211,OCESN009576F3503515110,"9576",0,,
OCE1209972,64,OCESN009596F1501515230,"9596",0,,
OCE1209972,973,OCESN009596F1301315229,"9596",0,,
OCE1209972,4239,OCESN009576F4304315115,"9576",0,,
OCE1209972,4229,OCESN009576F0900915123,"9576",0,,
OCE1209972,3754,OCESN009576F3803815121,"9576",0,,
OCE1209972,1110,OCESN009576F3903915120,"9576",0,,
OCE1209972,2671,OCESN009576F4504515126,"9576",0,,
OCE1209972,4244,OCESN009576F1101115127,"9576",0,,
OCE1209972,4245,OCESN009576F4404415124,"9576",0,,
OCE1209972,4243,OCESN009576F1001015116,"9576",0,,
OCE1209972,4158,OCESN009576F1201215117,"9576",0,,
OCE1209972,530,OCESN009576F2702715118,"9576",0,,
OCE1209972,3002,OCESN002094F040046794,"2094",0,,
OCE1209972,64,OCESN002088F170176787,"2088",0,,
OCE1209972,1516,OCESN002088F030036788,"2088",0,,
OCE1209972,4581,OCESN002088F160166786,"2088",0,,
OCE1209972,3000,OCESN002094F110116792,"2094",0,,
OCE1209972,1579,OCESN002430F070077035,"2430",0,,
OCE1209972,13995,OCESN002450F03003~TGP54557,"2450",0,,
OCE1209972,12194,OCESN002440F050057047,"2440",0,,
OCE1209972,13996,OCESN002356F490496969,"2356",0,,
OCE1209972,530,OCESN002356F280286965,"2356",0,,
OCE1209972,13997,OCESN002356F49049-491054199,"2356",0,,
OCE1209972,260,OCESN002060F080086761,"2060",0,,
OCE1209972,7248,OCESN002454F020027067,"2454",0,,
OCE1209972,530,OCESN002350F060066942,"2350",0,,
OCE1209972,70,OCESN002352F090096943,"2352",0,,
OCE1209972,13998,OCESN002470F040047075,"2470",0,,
OCE1209972,3855,OCESN002468F010017074,"2468",0,,
OCE1209972,6721,OCESN002404F030037015,"2404",0,,
OCE1209972,9089,OCESN002088F040046782,"2088",0,,
OCE1209972,13999,OCESN002474F050057082,"2474",0,,
OCE1209972,90,OCESN002474F060067081,"2474",0,,
OCE1209972,9059,OCESN002400F030037012,"2400",0,,
OCE1209972,4472,OCESN002062F050056763,"2062",0,,
OCE1209972,9383,OCESN002062F030036764,"2062",0,,
OCE1209972,4775,OCESN009592F0300315218,"9592",0,,
OCE1209972,8607,OCESN009578F0700715141,"9578",0,,
OCE1209972,34,OCESN009578F1801815145,"9578",0,,
OCE1209972,8611,OCESN009578F1101115147,"9578",0,,
OCE1209972,330,OCESN009570F0300315061,"9570",0,,
OCE1209972,8612,OCESN009578F0900915152,"9578",0,,
OCE1209972,2243,OCESN009570F0200215064,"9570",0,,
OCE1209972,584,OCESN009578F1001015151,"9578",0,,
OCE1209971,3297,OCESN009551F0400414973,"9551",1,,
OCE1209971,8182,OCESN009559F0400415010,"9559",1,,
OCE1209971,8891,OCESN002213F190196821,"2213",1,,
OCE1209971,14000,OCESN002625F01001~TGF54567,"2625",1,,
OCE1209971,14001,OCESN002625F010017284,"2625",1,,
OCE1209971,682,OCESN002233F090096855,"2233",1,,
OCE1209971,8892,OCESN002213F090096820,"2213",1,,
OCE1209971,733,OCESN002227F040046846,"2227",1,,
OCE1209971,8229,OCESN002227F010016852,"2227",1,,
OCE1209971,2545,OCESN002227F030036851,"2227",1,,
OCE1209971,7042,OCESN002227F130136853,"2227",1,,
OCE1209971,4527,OCESN002213F160166823,"2213",1,,
OCE1209971,686,OCESN002233F030036857,"2233",1,,
OCE1209971,4600,OCESN002213F150156822,"2213",1,,
OCE1209971,733,OCESN002213F200206824,"2213",1,,
OCE1209971,430,OCESN002209F180186815,"2209",1,,
OCE1209971,8227,OCESN002227F020026849,"2227",1,,
OCE1209971,14002,OCESN002209F19019~TGP54535,"2209",1,,
OCE1209971,4221,OCESN002623F030037281,"2623",1,,
