trip_id;trip_date;time;stop_by_name;stop;stop_position_lon;stop_position_lat
OCESN006801F0300311574;2020-04-23 10:47:00;10:47:00;Antibes;87757674;7.11951629;43.58578911
OCESN006801F0300311574;2020-04-23 11:07:00;11:07:00;Nice-Ville;87756056;7.26178618;43.70471069
OCESN006803F0100111578;2020-04-23 14:07:00;14:07:00;Lyon-Perrache;87722025;4.82594103;45.74878519
OCESN006803F0100111578;2020-04-23 15:07:00;15:07:00;Avignon-TGV;87318964;4.78615444;43.92196386
OCESN006803F0100111578;2020-04-23 15:30:00;15:30:00;Aix-en-Provence-TGV;87319012;5.31726436;43.45515093
OCESN006803F0100111578;2020-04-23 15:45:00;15:45:00;Marseille-St-Charles;87751008;5.38064989;43.30272986
OCESN006803F0100111578;2020-04-23 16:43:00;16:43:00;Toulon;87755009;5.92945828;43.12831598
OCESN006803F0100111578;2020-04-23 17:25:00;17:25:00;Les Arcs-Draguignan;87755447;6.48246201;43.45572852
OCESN006803F0100111578;2020-04-23 17:41:00;17:41:00;St-RaphaÃ«l-Valescure;87757526;6.76901271;43.42360603
OCESN006803F0100111578;2020-04-23 18:07:00;18:07:00;Cannes;87757625;7.01972542;43.55391311
OCESN006803F0100111578;2020-04-23 18:19:00;18:19:00;Antibes;87757674;7.11951629;43.58578911
OCESN006803F0100111578;2020-04-23 18:39:00;18:39:00;Nice-Ville;87756056;7.26178618;43.70471069
OCESN006862F0100111642;2020-04-23 19:07:00;19:07:00;Marseille-St-Charles;87751008;5.38064989;43.30272986
OCESN006862F0100111642;2020-04-23 19:21:00;19:21:00;Aix-en-Provence-TGV;87319012;5.31726436;43.45515093
OCESN006862F0100111642;2020-04-23 19:47:00;19:47:00;Avignon-TGV;87318964;4.78615444;43.92196386
OCESN006862F0100111642;2020-04-23 20:54:00;20:54:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006860F0100111640;2020-04-23 07:14:00;07:14:00;Marseille-St-Charles;87751008;5.38064989;43.30272986
OCESN006860F0100111640;2020-04-23 07:43:00;07:43:00;Avignon-TGV;87318964;4.78615444;43.92196386
OCESN006860F0100111640;2020-04-23 08:17:00;08:17:00;Valence-TGV;87763029;4.97894146;44.99137044
OCESN006860F0100111640;2020-04-23 08:54:00;08:54:00;Lyon-Part-Dieu;87723197;4.85943505;45.7605853
OCESN006852F0800811635;2020-04-23 17:23:00;17:23:00;Nice-Ville;87756056;7.26178618;43.70471069
OCESN006852F0800811635;2020-04-23 17:37:00;17:37:00;Antibes;87757674;7.11951629;43.58578911
OCESN006852F0800811635;2020-04-23 17:49:00;17:49:00;Cannes;87757625;7.01972542;43.55391311
OCESN006852F0800811635;2020-04-23 18:17:00;18:17:00;St-RaphaÃ«l-Valescure;87757526;6.76901271;43.42360603
