trip_id;stop;stop_by_name
OCESN002815F390397466;[87113001, 87171926, 87192039, 82001000];['Paris-Est', 'Champagne-Ardenne', 'Metz-Ville', 'Luxembourg']
OCESN002852F010017536;[82001000, 87191007, 87192039, 87147322, 87113001];['Luxembourg', 'Thionville', 'Metz-Ville', 'Meuse-TGV', 'Paris-Est']
OCESN002854F010017540;[82001000, 87191007, 87192039, 87113001];['Luxembourg', 'Thionville', 'Metz-Ville', 'Paris-Est']
OCESN002860F060067551;[82001000, 87192039, 87113001];['Luxembourg', 'Metz-Ville', 'Paris-Est']
OCESN002882F030037630;[82001000, 87191007, 87192039, 87171926, 87113001];['Luxembourg', 'Thionville', 'Metz-Ville', 'Champagne-Ardenne', 'Paris-Est']
OCESN005000F030039291;[87723197, 87763029, 87318964, 87751008];['Lyon-Part-Dieu', 'Valence-TGV', 'Avignon-TGV', 'Marseille-St-Charles']
OCESN005010F090099293;[87223263, 87313882, 87271494, 87111849, 87723197, 87763029, 87318964, 87751008];['Lille Europe', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu', 'Valence-TGV', 'Avignon-TGV', 'Marseille-St-Charles']
OCESN005024F08008~TGP54966;[87223263, 87313882, 87271494, 87111849, 87723197, 87318964, 87319012, 87751008];['Lille Europe', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles']
OCESN005026F01001~TGF54968;[87223263, 87271494, 87111849, 87723197, 87763029, 87703975, 87688887];['Lille Europe', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France']
OCESN005026F02002~TGF54973;[87223263, 87271494, 87111849, 87723197];['Lille Europe', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu']
OCESN005026F120129303;[87286005, 87271494, 87723197];['Lille Flandres', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lyon-Part-Dieu']
OCESN005030F080089312;[87223263, 87271494, 87111849, 87723197, 87318964, 87319012, 87751008];['Lille Europe', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles']
OCESN005036F05005~TGP54976;[87223263, 87271494, 87111849, 87723197, 87763029, 87775007, 87773002];['Lille Europe', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu', 'Valence-TGV', 'NÃ®mes', 'Montpellier-Saint-Roch']
OCESN005040F020029333;[87286005, 87271494, 87111849, 87393702, 87571240, 87575001, 87583005, 87581009];['Lille Flandres', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'St-Pierre-des-Corps', 'Poitiers', 'AngoulÃªme', 'Bordeaux-St-Jean']
OCESN005054F060069337;[87751008, 87319012, 87318964, 87723197, 87111849, 87271494, 87223263];['Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Europe']
OCESN005054F070079335;[87751008, 87319012, 87318964, 87723197, 87111849, 87271494];['Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV']
OCESN005060F140149346;[87581009, 87583005, 87575001, 87571240, 87393702, 87111849, 87271494, 87286005];['Bordeaux-St-Jean', 'AngoulÃªme', 'Poitiers', 'St-Pierre-des-Corps', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Flandres']
OCESN005062F170179360;[87688887, 87703975, 87763029, 87723197, 87111849, 87271494, 87313882, 87342014, 87223263];['Montpellier-Sud-France', 'NÃ®mes Pont-du-Gard', 'Valence-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'TGV Haute-Picardie', 'Arras', 'Lille Europe']
OCESN005102F94194~TGP54999;[87286005, 87271494, 87111849, 87723197, 87318964, 87319012, 87751008];['Lille Flandres', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles']
OCESN005111F010019386;[87223263, 87313882, 87271494, 87111849, 87723197, 87763029, 87318964, 87751008, 87755009, 87755447, 87757526, 87757625, 87757674, 87756056];['Lille Europe', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu', 'Valence-TGV', 'Avignon-TGV', 'Marseille-St-Charles', 'Toulon', 'Les Arcs-Draguignan', 'St-RaphaÃ«l-Valescure', 'Cannes', 'Antibes', 'Nice-Ville']
OCESN005124F210219414;[87223263, 87313882, 87271494, 87111849, 87723197, 87319012, 87751008];['Lille Europe', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Lyon-Part-Dieu', 'Aix-en-Provence-TGV', 'Marseille-St-Charles']
OCESN005130F22022~TGP55018;[87286005, 87271494, 87111849, 87713131, 87713040, 87300863, 87300822, 87182063];['Lille Flandres', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Montbard', 'Dijon-Ville', 'BesanÃ§on-Franche-ComtÃ©', 'Belfort-MontbÃ©liard-TGV', 'Mulhouse']
OCESN005152F220229425;[87182063, 87300822, 87300863, 87713040, 87713131, 87111849, 87271494, 87223263];['Mulhouse', 'Belfort-MontbÃ©liard-TGV', 'BesanÃ§on-Franche-ComtÃ©', 'Dijon-Ville', 'Montbard', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Europe']
OCESN005156F010019427;[87773002, 87775007, 87763029, 87723197, 87111849, 87271494, 87286005];['Montpellier-Saint-Roch', 'NÃ®mes', 'Valence-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Flandres']
OCESN005158F030039438;[87773002, 87775007, 87763029, 87723197, 87111849, 87271494, 87223263];['Montpellier-Saint-Roch', 'NÃ®mes', 'Valence-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Europe']
OCESN005168F220229439;[87756056, 87757674, 87757625, 87757526, 87755447, 87755009, 87751008, 87319012, 87318964, 87723197, 87111849, 87271494, 87223263];['Nice-Ville', 'Antibes', 'Cannes', 'St-RaphaÃ«l-Valescure', 'Les Arcs-Draguignan', 'Toulon', 'Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Europe']
OCESN005182F31031~TGF55025;[87688887, 87703975, 87763029, 87723197, 87111849, 87271494, 87223263];['Montpellier-Sud-France', 'NÃ®mes Pont-du-Gard', 'Valence-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Europe']
OCESN005184F10010~TGP55027;[87751008, 87319012, 87318964, 87763029, 87723197, 87111849, 87271494, 87223263];['Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'Valence-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Europe']
OCESN005192F05005~TGF55030;[87751008, 87319012, 87318964, 87723197, 87111849, 87271494, 87313882, 87342014, 87345009, 87286005];['Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'TGV Haute-Picardie', 'Arras', 'Douai', 'Lille Flandres']
OCESN005192F060069464;[87722025, 87723197, 87111849, 87271494, 87313882, 87342014, 87286005];['Lyon-Perrache', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'TGV Haute-Picardie', 'Arras', 'Lille Flandres']
OCESN005192F120129453;[87751008, 87319012, 87318964, 87723197, 87111849, 87271494, 87313882, 87342014, 87223263];['Marseille-St-Charles', 'Aix-en-Provence-TGV', 'Avignon-TGV', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'TGV Haute-Picardie', 'Arras', 'Lille Europe']
OCESN005192F14014~TGF55033;[87722025, 87723197, 87111849, 87271494, 87313882, 87342014, 87345009, 87286005];['Lyon-Perrache', 'Lyon-Part-Dieu', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'TGV Haute-Picardie', 'Arras', 'Douai', 'Lille Flandres']
OCESN005192F180189465;[87723197, 87271494, 87286005];['Lyon-Part-Dieu', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Flandres']
OCESN005202F120129482;[87223263, 87271494, 87111849, 87393702, 87571240, 87575001, 87583005, 87581009];['Lille Europe', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'St-Pierre-des-Corps', 'Poitiers', 'AngoulÃªme', 'Bordeaux-St-Jean']
OCESN005202F15015~TGN55045;[87286005, 87345009, 87342014, 87313882, 87271494, 87111849, 87393702, 87571240, 87575001, 87583005, 87581009];['Lille Flandres', 'Douai', 'Arras', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'St-Pierre-des-Corps', 'Poitiers', 'AngoulÃªme', 'Bordeaux-St-Jean']
OCESN005202F180189469;[87271494, 87111849, 87393702, 87571240, 87575001, 87583005, 87581009];['AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'St-Pierre-des-Corps', 'Poitiers', 'AngoulÃªme', 'Bordeaux-St-Jean']
OCESN005210F05005~TGD55048;[87223263, 87271494, 87111849, 87393702, 87396002, 87471003];['Lille Europe', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'Le Mans', 'Rennes']
OCESN005210F210219513;[87286005, 87271494, 87111849, 87393702, 87396002, 87471003];['Lille Flandres', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'Le Mans', 'Rennes']
OCESN005214F160169527;[87286005, 87342014, 87313882, 87271494, 87111849, 87393702, 87396002, 87484006, 87481002];['Lille Flandres', 'Arras', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'Le Mans', 'Angers-St-Laud', 'Nantes']
OCESN005214F180189519;[87271494, 87111849, 87393702, 87396002, 87484006, 87481002];['AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'Le Mans', 'Angers-St-Laud', 'Nantes']
OCESN005214F230239533;[87286005, 87345009, 87342014, 87313882, 87271494, 87111849, 87393702, 87396002, 87484006, 87481002];['Lille Flandres', 'Douai', 'Arras', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'Le Mans', 'Angers-St-Laud', 'Nantes']
OCESN005224F010019540;[87286005, 87345009, 87342014, 87271494, 87111849, 87393702, 87571240, 87484006, 87481002];['Lille Flandres', 'Douai', 'Arras', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'St-Pierre-des-Corps', 'Angers-St-Laud', 'Nantes']
OCESN005224F080089537;[87286005, 87342014, 87271494, 87111849, 87393702, 87571240, 87484006, 87481002];['Lille Flandres', 'Arras', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'St-Pierre-des-Corps', 'Angers-St-Laud', 'Nantes']
OCESN005226F230239553;[87223263, 87313882, 87271494, 87111849, 87393702, 87396002, 87478404, 87471003];['Lille Europe', 'TGV Haute-Picardie', 'AÃ©ropt-C-de-Gaulle-TGV', 'Marne-la-VallÃ©e-Chessy.', 'Massy-TGV', 'Le Mans', 'Laval', 'Rennes']
OCESN005278F210219606;[87481002, 87484006, 87396002, 87393702, 87111849, 87271494, 87286005];['Nantes', 'Angers-St-Laud', 'Le Mans', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Flandres']
OCESN005280F13013~TGD55072;[87471003, 87478404, 87396002, 87393702, 87111849, 87271494, 87223263];['Rennes', 'Laval', 'Le Mans', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Europe']
OCESN005284F240249625;[87581009, 87583005, 87575001, 87571240, 87393702, 87111849, 87271494, 87223263];['Bordeaux-St-Jean', 'AngoulÃªme', 'Poitiers', 'St-Pierre-des-Corps', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'Lille Europe']
OCESN005288F290299633;[87481002, 87484006, 87396002, 87393702, 87111849, 87271494];['Nantes', 'Angers-St-Laud', 'Le Mans', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV']
OCESN005291F010019649;[87471003, 87393702, 87111849, 87271494, 87313882, 87223263];['Rennes', 'Massy-TGV', 'Marne-la-VallÃ©e-Chessy.', 'AÃ©ropt-C-de-Gaulle-TGV', 'TGV Haute-Picardie', 'Lille Europe']
OCESN005300F140149653;[87481002, 87484006, 87487603, 87571240, 87393702, 87723197, 87763029, 87703975, 87688887];['Nantes', 'Angers-St-Laud', 'Saumur', 'St-Pierre-des-Corps', 'Massy-TGV', 'Lyon-Part-Dieu', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France']
OCESN005300F150159656;[87481002, 87484006, 87571240, 87393702, 87723197, 87763029, 87703975, 87688887];['Nantes', 'Angers-St-Laud', 'St-Pierre-des-Corps', 'Massy-TGV', 'Lyon-Part-Dieu', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France']
OCESN005300F21021-1188254280;[87571240, 87393702, 87723197, 87763029, 87703975, 87688887];['St-Pierre-des-Corps', 'Massy-TGV', 'Lyon-Part-Dieu', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France']
OCESN005302F601609659;[87481002, 87484006, 87396002, 87393702, 87723197, 87318964, 87319012, 87751008];['Nantes', 'Angers-St-Laud', 'Le Mans', 'Massy-TGV', 'Lyon-Part-Dieu', 'Avignon-TGV', 'Aix-en-Provence-TGV', 'Marseille-St-Charles']
OCESN005302F651659660;[87481002, 87484006, 87396002, 87393702, 87723197];['Nantes', 'Angers-St-Laud', 'Le Mans', 'Massy-TGV', 'Lyon-Part-Dieu']
OCESN005304F120129665;[87481002, 87484006, 87396002, 87393702, 87723197, 87722025];['Nantes', 'Angers-St-Laud', 'Le Mans', 'Massy-TGV', 'Lyon-Part-Dieu', 'Lyon-Perrache']
OCESN005304F130139664;[87481002, 87484006, 87396002, 87393702, 87723197, 87763029, 87703975, 87688887];['Nantes', 'Angers-St-Laud', 'Le Mans', 'Massy-TGV', 'Lyon-Part-Dieu', 'Valence-TGV', 'NÃ®mes Pont-du-Gard', 'Montpellier-Sud-France']
OCESN005306F641649673;[87481002, 87484006, 87396002, 87393702, 87723197, 87318964, 87751008];['Nantes', 'Angers-St-Laud', 'Le Mans', 'Massy-TGV', 'Lyon-Part-Dieu', 'Avignon-TGV', 'Marseille-St-Charles']
OCESN005316F240249694;[87413013, 87411017, 87381509, 87393009, 87393579, 87723197];['Le Havre', 'Rouen-Rive-Droite', 'Mantes-la-Jolie', 'Versailles-Chantiers', 'Massy-Palaiseau', 'Lyon-Part-Dieu']
OCESN005316F320329693;[87413013, 87411017, 87381509, 87393009, 87393579, 87723197, 87763029, 87318964, 87751008];['Le Havre', 'Rouen-Rive-Droite', 'Mantes-la-Jolie', 'Versailles-Chantiers', 'Massy-Palaiseau', 'Lyon-Part-Dieu', 'Valence-TGV', 'Avignon-TGV', 'Marseille-St-Charles']
OCESN005316F400409691;[87411017, 87381509, 87393009, 87393579, 87723197, 87763029, 87318964, 87751008];['Rouen-Rive-Droite', 'Mantes-la-Jolie', 'Versailles-Chantiers', 'Massy-Palaiseau', 'Lyon-Part-Dieu', 'Valence-TGV', 'Avignon-TGV', 'Marseille-St-Charles']
OCESN005316F420429686;[87393009, 87393579, 87723197, 87763029, 87318964, 87751008];['Versailles-Chantiers', 'Massy-Palaiseau', 'Lyon-Part-Dieu', 'Valence-TGV', 'Avignon-TGV', 'Marseille-St-Charles']
