stop_name;stop_id;train_type;geometry
Bordeaux-Saint-Jean;87581009;['TGV inOui ou TGV', ' Ouigo', ' Thalys (saisonnier)'];POINT (-0.55619406 44.82653979)
Boulogne-Ville;87317586;['TGV inOui', ' TERGV'];POINT (1.60980589 50.71558518)
Bourg-en-Bresse;87743005;['TGV inOui', ' TGV Lyria'];POINT (5.21496904 46.20012577)
Brest;87474007;['TGV inOui ou TGV'];POINT (-4.47891795 48.38808306)
Béthune;87342006;['TGV inOui'];POINT (2.64039821 50.52143359)
Béziers;87781005;['TGV inOui', ' AVE'];POINT (3.21921804 43.33622529)
Calais - Fréthun;87281071;['TGV inOui', ' TERGV', ' Eurostar'];POINT (1.81102746 50.9012626)
Calais-Ville;87317263;['TGV inOui', ' TERGV'];POINT (1.85074515 50.95345613)
Cannes;87757625;['TGV inOui', ' Ouigo'];POINT (7.01972542 43.55391311)
Carcassonne;87615286;['TGV inOui'];POINT (2.35188313 43.2177147)
Chalon-sur-Saône;87725002;['TGV inOui'];POINT (4.84348859 46.7815704)
"Chambéry - Challes-les-Eaux;Savoie";87741009;['TGV inOui', 'Thalys (saisonnier)'];POINT (5.91980053 45.57103797)
Champagne-Ardenne TGV;87171926;['TGV inOui', ' Ouigo'];POINT (3.98878814 49.21164026)
Charleville-Mézières;87172007;['TGV inOui'];POINT (4.7248489 49.76742007)
Châlons-en-Champagne;87174003;['TGV inOui'];POINT (4.34895439 48.9555093)
Châtellerault;87575142;['TGV inOui ou TGV'];POINT (0.54921798 46.81856464)
Colmar;87182014;['TGV inOui', ' Ouigo'];POINT (7.34708413 48.07315381)
Croix - Wasquehal;87286716;['TGV inOui'];POINT (3.13809462 50.67854533)
Dax;87673202;['TGV inOui'];POINT (-1.05032404 43.72066682)
Dijon-Ville;87713040;['TGV inOui', ' TGV Lyria'];POINT (5.02727989 47.32340388)
Dol-de-Bretagne;87478073;['TGV inOui ou TGV'];POINT (-1.75046978 48.54297584)
Dole-Ville;87713412;['TGV inOui', ' TGV Lyria'];POINT (5.48803607 47.09615509)
Douai;87345009;['TGV inOui'];POINT (3.08996131 50.37167529)
Dunkerque;87281006;['TGV inOui', ' TERGV'];POINT (2.36894309 51.03043801)
Facture-Biganos;87582478;['TGV inOui', 'Thalys (saisonnier)'];POINT (-0.96602054 44.63748155)
Forbach;87193003;['TGV inOui', ' ICE'];POINT (6.90184878 49.18949148)
Futuroscope;87324095;['TGV inOui ou TGV'];POINT (0.37720187 46.66985027)
Grenoble;87747006;['TGV inOui'];POINT (5.71452957 45.1914627)
Guingamp;87473207;['TGV inOui ou TGV'];POINT (-3.14271633 48.55553565)
Hazebrouck;87286302;['TGV inOui'];POINT (2.54152631 50.72504307)
Hendaye;87677005;['TGV inOui'];POINT (-1.78186851 43.35299487)
Hyères;87755629;['TGV inOui'];POINT (6.12419901 43.1088605)
La Baule-Escoublac;87481754;['TGV inOui ou TGV'];POINT (-2.38922534 47.28862216)
La Roche-sur-Yon;87486019;['TGV inOui ou TGV'];POINT (-1.43568015 46.67202495)
La Rochelle-Ville;87485003;['TGV inOui ou TGV'];POINT (-1.14530035 46.15270103)
La Teste;87582643;['TGV inOui (hebdomadaire)'];POINT (-1.14297865 44.63695908)
Lamballe;87473108;['TGV inOui ou TGV'];POINT (-2.51148941 48.46592233)
Landerneau;87474239;['TGV inOui ou TGV'];POINT (-4.25620875 48.45383363)
Laval;87478404;['TGV inOui ou TGV', ' Ouigo'];POINT (-0.7609394900000001 48.07625188)
Le Creusot - Montceau - Montchanin;87694109;['TGV inOui'];POINT (4.49938814 46.76530905)
Le Croisic;87481788;['TGV inOui ou TGV'];POINT (-2.50728835 47.28988946)
Le Havre;87413013;['TGV inOui'];POINT (0.12483507 49.49265339)
Le Mans;87396002;['TGV inOui ou TGV', ' Ouigo'];POINT (0.19214284 47.99558372)
Le Pouliguen;87481762;['TGV inOui ou TGV'];POINT (-2.43315669 47.28252436)
Lens;87345025;['TGV inOui'];POINT (2.82819533 50.42676563)
Les Arcs - Draguignan;87755447;['TGV inOui', ' Ouigo'];POINT (6.48246201 43.45572852)
Les Sables-d'Olonne;87486449;['TGV inOui ou TGV'];POINT (-1.7811549 46.49998281)
Libourne;87584052;['TGV inOui ou TGV'];POINT (-0.23636765 44.91588446)
Lille-Europe;87223263;['TGV inOui', ' TERGV', ' Eurostar'];POINT (3.07574513 50.6388462)
Lille-Flandres;87286005;['TGV inOui'];POINT (3.07102315 50.63620117)
Lorient;87476002;['TGV inOui ou TGV'];POINT (-3.36634771 47.75520333)
