;trip_type;trip_id;departure_name;arrival_name;departure_uic;arrival_uic;duration;stops
34;87212027_87214056;OCESN002377F080087010;Strasbourg;SÃ©lestat;87212027;87214056;1440;[]
35;87212027_87182014;OCESN002377F080087010;Strasbourg;Colmar;87212027;87182014;2280;['SÃ©lestat']
36;87113001_87212027;OCESN002377F04004~TGF54547;Paris-Est;Strasbourg;87113001;87212027;6420;[]
37;87113001_87214056;OCESN002377F04004~TGF54547;Paris-Est;SÃ©lestat;87113001;87214056;7860;['Strasbourg']
38;87113001_87182014;OCESN002377F04004~TGF54547;Paris-Est;Colmar;87113001;87182014;8640;['Strasbourg', 'SÃ©lestat']
39;87212027_87214056;OCESN002377F04004~TGF54547;Strasbourg;SÃ©lestat;87212027;87214056;1440;[]
40;87212027_87182014;OCESN002377F04004~TGF54547;Strasbourg;Colmar;87212027;87182014;2220;['SÃ©lestat']
41;87113001_87212027;OCESN002363F120126976;Paris-Est;Strasbourg;87113001;87212027;6300;[]
42;87113001_87182014;OCESN002363F120126976;Paris-Est;Colmar;87113001;87182014;8460;['Strasbourg']
43;87212027_87182014;OCESN002363F120126976;Strasbourg;Colmar;87212027;87182014;2160;[]
44;87113001_87212027;OCESN002371F050057003;Paris-Est;Strasbourg;87113001;87212027;6360;[]
45;87113001_87182014;OCESN002371F050057003;Paris-Est;Colmar;87113001;87182014;8220;['Strasbourg']
46;87212027_87182014;OCESN002371F050057003;Strasbourg;Colmar;87212027;87182014;1860;[]
47;87113001_87212027;OCESN002371F060067004;Paris-Est;Strasbourg;87113001;87212027;6360;[]
48;87113001_87182014;OCESN002371F060067004;Paris-Est;Colmar;87113001;87182014;8280;['Strasbourg']
49;87212027_87182014;OCESN002371F060067004;Strasbourg;Colmar;87212027;87182014;1920;[]
50;87113001_87212027;OCESN009561F2402415023;Paris-Est;Strasbourg;87113001;87212027;6300;[]
51;87113001_80142281;OCESN009561F2402415023;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9120;['Strasbourg']
52;87113001_80140087;OCESN009561F2402415023;Paris-Est;Mannheim-Hbf;87113001;80140087;11040;['Strasbourg', 'Karlsruhe-Hbf']
53;87113001_80110684;OCESN009561F2402415023;Paris-Est;Frankfurt/M (Francfort);87113001;80110684;13380;['Strasbourg', 'Karlsruhe-Hbf', 'Mannheim-Hbf']
54;87212027_80142281;OCESN009561F2402415023;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2820;[]
55;87212027_80140087;OCESN009561F2402415023;Strasbourg;Mannheim-Hbf;87212027;80140087;4740;['Karlsruhe-Hbf']
56;87212027_80110684;OCESN009561F2402415023;Strasbourg;Frankfurt/M (Francfort);87212027;80110684;7080;['Karlsruhe-Hbf', 'Mannheim-Hbf']
57;87113001_87212027;OCESN009561F2002015021;Paris-Est;Strasbourg;87113001;87212027;6300;[]
58;87113001_80142281;OCESN009561F2002015021;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9120;['Strasbourg']
59;87113001_80140087;OCESN009561F2002015021;Paris-Est;Mannheim-Hbf;87113001;80140087;11040;['Strasbourg', 'Karlsruhe-Hbf']
60;87113001_80110684;OCESN009561F2002015021;Paris-Est;Frankfurt/M (Francfort);87113001;80110684;13380;['Strasbourg', 'Karlsruhe-Hbf', 'Mannheim-Hbf']
61;87212027_80142281;OCESN009561F2002015021;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2820;[]
62;87212027_80140087;OCESN009561F2002015021;Strasbourg;Mannheim-Hbf;87212027;80140087;4740;['Karlsruhe-Hbf']
63;87212027_80110684;OCESN009561F2002015021;Strasbourg;Frankfurt/M (Francfort);87212027;80110684;7080;['Karlsruhe-Hbf', 'Mannheim-Hbf']
64;87113001_87212027;OCESN009561F1401415026;Paris-Est;Strasbourg;87113001;87212027;6300;[]
65;87113001_80142281;OCESN009561F1401415026;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9120;['Strasbourg']
66;87113001_80140087;OCESN009561F1401415026;Paris-Est;Mannheim-Hbf;87113001;80140087;11040;['Strasbourg', 'Karlsruhe-Hbf']
67;87113001_80110684;OCESN009561F1401415026;Paris-Est;Frankfurt/M (Francfort);87113001;80110684;13380;['Strasbourg', 'Karlsruhe-Hbf', 'Mannheim-Hbf']
68;87212027_80142281;OCESN009561F1401415026;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2820;[]
69;87212027_80140087;OCESN009561F1401415026;Strasbourg;Mannheim-Hbf;87212027;80140087;4740;['Karlsruhe-Hbf']
70;87212027_80110684;OCESN009561F1401415026;Strasbourg;Frankfurt/M (Francfort);87212027;80110684;7080;['Karlsruhe-Hbf', 'Mannheim-Hbf']
71;87113001_87212027;OCESN009561F1101115030;Paris-Est;Strasbourg;87113001;87212027;6300;[]
72;87113001_80142281;OCESN009561F1101115030;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9120;['Strasbourg']
73;87113001_80140087;OCESN009561F1101115030;Paris-Est;Mannheim-Hbf;87113001;80140087;11040;['Strasbourg', 'Karlsruhe-Hbf']
74;87113001_80110684;OCESN009561F1101115030;Paris-Est;Frankfurt/M (Francfort);87113001;80110684;13380;['Strasbourg', 'Karlsruhe-Hbf', 'Mannheim-Hbf']
75;87212027_80142281;OCESN009561F1101115030;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2820;[]
76;87212027_80140087;OCESN009561F1101115030;Strasbourg;Mannheim-Hbf;87212027;80140087;4740;['Karlsruhe-Hbf']
77;87212027_80110684;OCESN009561F1101115030;Strasbourg;Frankfurt/M (Francfort);87212027;80110684;7080;['Karlsruhe-Hbf', 'Mannheim-Hbf']
78;87113001_87212027;OCESN009561F1201215028;Paris-Est;Strasbourg;87113001;87212027;6300;[]
79;87113001_80142281;OCESN009561F1201215028;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9120;['Strasbourg']
80;87113001_80140087;OCESN009561F1201215028;Paris-Est;Mannheim-Hbf;87113001;80140087;10680;['Strasbourg', 'Karlsruhe-Hbf']
81;87113001_80110684;OCESN009561F1201215028;Paris-Est;Frankfurt/M (Francfort);87113001;80110684;13080;['Strasbourg', 'Karlsruhe-Hbf', 'Mannheim-Hbf']
82;87212027_80142281;OCESN009561F1201215028;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2820;[]
83;87212027_80140087;OCESN009561F1201215028;Strasbourg;Mannheim-Hbf;87212027;80140087;4380;['Karlsruhe-Hbf']
84;87212027_80110684;OCESN009561F1201215028;Strasbourg;Frankfurt/M (Francfort);87212027;80110684;6780;['Karlsruhe-Hbf', 'Mannheim-Hbf']
85;87113001_87212027;OCESN009561F1801815029;Paris-Est;Strasbourg;87113001;87212027;6300;[]
86;87113001_80142281;OCESN009561F1801815029;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9120;['Strasbourg']
87;87113001_80140087;OCESN009561F1801815029;Paris-Est;Mannheim-Hbf;87113001;80140087;11040;['Strasbourg', 'Karlsruhe-Hbf']
88;87113001_80110684;OCESN009561F1801815029;Paris-Est;Frankfurt/M (Francfort);87113001;80110684;13380;['Strasbourg', 'Karlsruhe-Hbf', 'Mannheim-Hbf']
89;87212027_80142281;OCESN009561F1801815029;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2820;[]
90;87212027_80140087;OCESN009561F1801815029;Strasbourg;Mannheim-Hbf;87212027;80140087;4740;['Karlsruhe-Hbf']
91;87212027_80110684;OCESN009561F1801815029;Strasbourg;Frankfurt/M (Francfort);87212027;80110684;7080;['Karlsruhe-Hbf', 'Mannheim-Hbf']
92;87113001_87212027;OCESN009591F0800815217;Paris-Est;Strasbourg;87113001;87212027;6540;[]
93;87113001_80143099;OCESN009591F0800815217;Paris-Est;Offenburg;87113001;80143099;8100;['Strasbourg']
94;87113001_80143198;OCESN009591F0800815217;Paris-Est;Lahr;87113001;80143198;9360;['Strasbourg', 'Offenburg']
95;87113001_80143313;OCESN009591F0800815217;Paris-Est;Emmendingen;87113001;80143313;10320;['Strasbourg', 'Offenburg', 'Lahr']
96;87113001_80143503;OCESN009591F0800815217;Paris-Est;Freiburg-Breisgau;87113001;80143503;11100;['Strasbourg', 'Offenburg', 'Lahr', 'Emmendingen']
97;87212027_80143099;OCESN009591F0800815217;Strasbourg;Offenburg;87212027;80143099;1560;[]
98;87212027_80143198;OCESN009591F0800815217;Strasbourg;Lahr;87212027;80143198;2820;['Offenburg']
99;87212027_80143313;OCESN009591F0800815217;Strasbourg;Emmendingen;87212027;80143313;3780;['Offenburg', 'Lahr']
100;87212027_80143503;OCESN009591F0800815217;Strasbourg;Freiburg-Breisgau;87212027;80143503;4560;['Offenburg', 'Lahr', 'Emmendingen']
101;87113001_87212027;OCESN009591F0700715215;Paris-Est;Strasbourg;87113001;87212027;6540;[]
102;87113001_80143099;OCESN009591F0700715215;Paris-Est;Offenburg;87113001;80143099;8040;['Strasbourg']
103;87113001_80143198;OCESN009591F0700715215;Paris-Est;Lahr;87113001;80143198;8820;['Strasbourg', 'Offenburg']
104;87113001_80143313;OCESN009591F0700715215;Paris-Est;Emmendingen;87113001;80143313;9780;['Strasbourg', 'Offenburg', 'Lahr']
105;87113001_80143503;OCESN009591F0700715215;Paris-Est;Freiburg-Breisgau;87113001;80143503;10560;['Strasbourg', 'Offenburg', 'Lahr', 'Emmendingen']
106;87212027_80143099;OCESN009591F0700715215;Strasbourg;Offenburg;87212027;80143099;1500;[]
107;87212027_80143198;OCESN009591F0700715215;Strasbourg;Lahr;87212027;80143198;2280;['Offenburg']
108;87212027_80143313;OCESN009591F0700715215;Strasbourg;Emmendingen;87212027;80143313;3240;['Offenburg', 'Lahr']
109;87212027_80143503;OCESN009591F0700715215;Strasbourg;Freiburg-Breisgau;87212027;80143503;4020;['Offenburg', 'Lahr', 'Emmendingen']
110;87113001_87212027;OCESN009593F0800815221;Paris-Est;Strasbourg;87113001;87212027;6360;[]
111;87113001_80142281;OCESN009593F0800815221;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9000;['Strasbourg']
112;87212027_80142281;OCESN009593F0800815221;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
113;87113001_87212027;OCESN009577F1101115139;Paris-Est;Strasbourg;87113001;87212027;6420;[]
114;87113001_80142281;OCESN009577F1101115139;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
115;87113001_80290346;OCESN009577F1101115139;Paris-Est;Stuttgart;87113001;80290346;12840;['Strasbourg', 'Karlsruhe-Hbf']
116;87113001_80291039;OCESN009577F1101115139;Paris-Est;Ulm-Hbf;87113001;80291039;16980;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart']
117;87113001_80021402;OCESN009577F1101115139;Paris-Est;Augsburg-Hbf;87113001;80021402;19560;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf']
118;87113001_80203471;OCESN009577F1101115139;Paris-Est;MÃ¼nchen Hbf (Munich);87113001;80203471;21480;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf', 'Augsburg-Hbf']
119;87212027_80142281;OCESN009577F1101115139;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
120;87212027_80290346;OCESN009577F1101115139;Strasbourg;Stuttgart;87212027;80290346;6420;['Karlsruhe-Hbf']
121;87212027_80291039;OCESN009577F1101115139;Strasbourg;Ulm-Hbf;87212027;80291039;10560;['Karlsruhe-Hbf', 'Stuttgart']
122;87212027_80021402;OCESN009577F1101115139;Strasbourg;Augsburg-Hbf;87212027;80021402;13140;['Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf']
123;87212027_80203471;OCESN009577F1101115139;Strasbourg;MÃ¼nchen Hbf (Munich);87212027;80203471;15060;['Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf', 'Augsburg-Hbf']
124;87113001_87212027;OCESN009577F2502515130;Paris-Est;Strasbourg;87113001;87212027;6420;[]
125;87113001_80142281;OCESN009577F2502515130;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
126;87113001_80290346;OCESN009577F2502515130;Paris-Est;Stuttgart;87113001;80290346;12840;['Strasbourg', 'Karlsruhe-Hbf']
127;87113001_80291039;OCESN009577F2502515130;Paris-Est;Ulm-Hbf;87113001;80291039;16980;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart']
128;87113001_80021402;OCESN009577F2502515130;Paris-Est;Augsburg-Hbf;87113001;80021402;19800;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf']
129;87113001_80203471;OCESN009577F2502515130;Paris-Est;MÃ¼nchen Hbf (Munich);87113001;80203471;21480;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf', 'Augsburg-Hbf']
130;87212027_80142281;OCESN009577F2502515130;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
131;87212027_80290346;OCESN009577F2502515130;Strasbourg;Stuttgart;87212027;80290346;6420;['Karlsruhe-Hbf']
132;87212027_80291039;OCESN009577F2502515130;Strasbourg;Ulm-Hbf;87212027;80291039;10560;['Karlsruhe-Hbf', 'Stuttgart']
133;87212027_80021402;OCESN009577F2502515130;Strasbourg;Augsburg-Hbf;87212027;80021402;13380;['Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf']
134;87212027_80203471;OCESN009577F2502515130;Strasbourg;MÃ¼nchen Hbf (Munich);87212027;80203471;15060;['Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf', 'Augsburg-Hbf']
135;87113001_87212027;OCESN009577F1201215132;Paris-Est;Strasbourg;87113001;87212027;6420;[]
136;87113001_80142281;OCESN009577F1201215132;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
137;87113001_80290346;OCESN009577F1201215132;Paris-Est;Stuttgart;87113001;80290346;11400;['Strasbourg', 'Karlsruhe-Hbf']
138;87113001_80291039;OCESN009577F1201215132;Paris-Est;Ulm-Hbf;87113001;80291039;15780;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart']
139;87113001_80021402;OCESN009577F1201215132;Paris-Est;Augsburg-Hbf;87113001;80021402;18420;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf']
140;87113001_80203471;OCESN009577F1201215132;Paris-Est;MÃ¼nchen Hbf (Munich);87113001;80203471;20520;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf', 'Augsburg-Hbf']
141;87212027_80142281;OCESN009577F1201215132;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
142;87212027_80290346;OCESN009577F1201215132;Strasbourg;Stuttgart;87212027;80290346;4980;['Karlsruhe-Hbf']
143;87212027_80291039;OCESN009577F1201215132;Strasbourg;Ulm-Hbf;87212027;80291039;9360;['Karlsruhe-Hbf', 'Stuttgart']
144;87212027_80021402;OCESN009577F1201215132;Strasbourg;Augsburg-Hbf;87212027;80021402;12000;['Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf']
145;87212027_80203471;OCESN009577F1201215132;Strasbourg;MÃ¼nchen Hbf (Munich);87212027;80203471;14100;['Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf', 'Augsburg-Hbf']
146;87113001_87212027;OCESN009579F1601615169;Paris-Est;Strasbourg;87113001;87212027;6420;[]
147;87113001_80142281;OCESN009579F1601615169;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
148;87113001_80290346;OCESN009579F1601615169;Paris-Est;Stuttgart;87113001;80290346;12780;['Strasbourg', 'Karlsruhe-Hbf']
149;87113001_80291039;OCESN009579F1601615169;Paris-Est;Ulm-Hbf;87113001;80291039;17100;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart']
150;87113001_80021402;OCESN009579F1601615169;Paris-Est;Augsburg-Hbf;87113001;80021402;19800;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf']
151;87113001_80203471;OCESN009579F1601615169;Paris-Est;MÃ¼nchen Hbf (Munich);87113001;80203471;21660;['Strasbourg', 'Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf', 'Augsburg-Hbf']
152;87212027_80142281;OCESN009579F1601615169;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
153;87212027_80290346;OCESN009579F1601615169;Strasbourg;Stuttgart;87212027;80290346;6360;['Karlsruhe-Hbf']
154;87212027_80291039;OCESN009579F1601615169;Strasbourg;Ulm-Hbf;87212027;80291039;10680;['Karlsruhe-Hbf', 'Stuttgart']
155;87212027_80021402;OCESN009579F1601615169;Strasbourg;Augsburg-Hbf;87212027;80021402;13380;['Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf']
156;87212027_80203471;OCESN009579F1601615169;Strasbourg;MÃ¼nchen Hbf (Munich);87212027;80203471;15240;['Karlsruhe-Hbf', 'Stuttgart', 'Ulm-Hbf', 'Augsburg-Hbf']
157;87113001_87212027;OCESN002077F060066781;Paris-Est;Strasbourg;87113001;87212027;6420;[]
158;87113001_87212027;OCESN002077F040046780;Paris-Est;Strasbourg;87113001;87212027;6420;[]
159;87113001_87212027;OCESN002471F08008~TGF54561;Paris-Est;Strasbourg;87113001;87212027;6360;[]
160;87113001_87212027;OCESN002075F020026776;Paris-Est;Strasbourg;87113001;87212027;6420;[]
161;87113001_87212027;OCESN002409F06006~TGP54552;Paris-Est;Strasbourg;87113001;87212027;6360;[]
162;87113001_87212027;OCESN002443F08008~TGF54555;Paris-Est;Strasbourg;87113001;87212027;6420;[]
163;87113001_87212027;OCESN002069F12012~TGF54531;Paris-Est;Strasbourg;87113001;87212027;6420;[]
164;87113001_87212027;OCESN002363F150156977;Paris-Est;Strasbourg;87113001;87212027;6300;[]
165;87113001_87212027;OCESN002091F050056790;Paris-Est;Strasbourg;87113001;87212027;6360;[]
166;87113001_87212027;OCESN002091F060066791;Paris-Est;Strasbourg;87113001;87212027;6360;[]
167;87113001_87212027;OCESN002471F080087078;Paris-Est;Strasbourg;87113001;87212027;6360;[]
168;87113001_87212027;OCESN002443F080087055;Paris-Est;Strasbourg;87113001;87212027;6420;[]
169;87113001_87212027;OCESN002431F040047043;Paris-Est;Strasbourg;87113001;87212027;6360;[]
170;87113001_87212027;OCESN002377F060067007;Paris-Est;Strasbourg;87113001;87212027;6420;[]
171;87113001_87212027;OCESN002421F050057032;Paris-Est;Strasbourg;87113001;87212027;6420;[]
172;87113001_87212027;OCESN002465F050057069;Paris-Est;Strasbourg;87113001;87212027;6540;[]
173;87113001_87171926;OCESN002407F050057021;Paris-Est;Champagne-Ardenne;87113001;87171926;2340;[]
174;87113001_87147322;OCESN002407F050057021;Paris-Est;Meuse-TGV;87113001;87147322;3960;['Champagne-Ardenne']
175;87113001_87212027;OCESN002407F050057021;Paris-Est;Strasbourg;87113001;87212027;7140;['Champagne-Ardenne', 'Meuse-TGV']
176;87171926_87147322;OCESN002407F050057021;Champagne-Ardenne;Meuse-TGV;87171926;87147322;1620;[]
177;87171926_87212027;OCESN002407F050057021;Champagne-Ardenne;Strasbourg;87171926;87212027;4800;['Meuse-TGV']
178;87113001_87212027;OCESN002069F230236772;Paris-Est;Strasbourg;87113001;87212027;6420;[]
179;87113001_87212027;OCESN002409F060067028;Paris-Est;Strasbourg;87113001;87212027;6360;[]
180;87113001_87212027;OCESN009575F2402415105;Paris-Est;Strasbourg;87113001;87212027;6420;[]
181;87113001_80142281;OCESN009575F2402415105;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
182;87113001_80290346;OCESN009575F2402415105;Paris-Est;Stuttgart;87113001;80290346;12840;['Strasbourg', 'Karlsruhe-Hbf']
183;87212027_80142281;OCESN009575F2402415105;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
184;87212027_80290346;OCESN009575F2402415105;Strasbourg;Stuttgart;87212027;80290346;6420;['Karlsruhe-Hbf']
185;87113001_87212027;OCESN009575F1501515104;Paris-Est;Strasbourg;87113001;87212027;6420;[]
186;87113001_87212027;OCESN009575F3203215106;Paris-Est;Strasbourg;87113001;87212027;6420;[]
187;87113001_87212027;OCESN009579F34034-1327254417;Paris-Est;Strasbourg;87113001;87212027;6420;[]
188;87113001_87212027;OCESN009579F1701715161;Paris-Est;Strasbourg;87113001;87212027;6420;[]
189;87113001_80142281;OCESN009579F1701715161;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
190;87113001_80290346;OCESN009579F1701715161;Paris-Est;Stuttgart;87113001;80290346;11400;['Strasbourg', 'Karlsruhe-Hbf']
191;87212027_80142281;OCESN009579F1701715161;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
192;87212027_80290346;OCESN009579F1701715161;Strasbourg;Stuttgart;87212027;80290346;4980;['Karlsruhe-Hbf']
193;87113001_87212027;OCESN009575F2302315097;Paris-Est;Strasbourg;87113001;87212027;6420;[]
194;87113001_80142281;OCESN009575F2302315097;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
195;87113001_80290346;OCESN009575F2302315097;Paris-Est;Stuttgart;87113001;80290346;12840;['Strasbourg', 'Karlsruhe-Hbf']
196;87212027_80142281;OCESN009575F2302315097;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
197;87212027_80290346;OCESN009575F2302315097;Strasbourg;Stuttgart;87212027;80290346;6420;['Karlsruhe-Hbf']
198;87113001_87212027;OCESN009575F3303315101;Paris-Est;Strasbourg;87113001;87212027;6420;[]
199;87113001_87212027;OCESN009579F1501515153;Paris-Est;Strasbourg;87113001;87212027;6420;[]
200;87113001_80142281;OCESN009579F1501515153;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
201;87113001_80290346;OCESN009579F1501515153;Paris-Est;Stuttgart;87113001;80290346;12780;['Strasbourg', 'Karlsruhe-Hbf']
202;87212027_80142281;OCESN009579F1501515153;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
203;87212027_80290346;OCESN009579F1501515153;Strasbourg;Stuttgart;87212027;80290346;6360;['Karlsruhe-Hbf']
204;87113001_87212027;OCESN009575F24024-1322154414;Paris-Est;Strasbourg;87113001;87212027;6420;[]
205;87113001_87212027;OCESN009575F1401415093;Paris-Est;Strasbourg;87113001;87212027;6420;[]
206;87113001_80142281;OCESN009575F1401415093;Paris-Est;Karlsruhe-Hbf;87113001;80142281;9060;['Strasbourg']
207;87113001_80290346;OCESN009575F1401415093;Paris-Est;Stuttgart;87113001;80290346;12840;['Strasbourg', 'Karlsruhe-Hbf']
208;87212027_80142281;OCESN009575F1401415093;Strasbourg;Karlsruhe-Hbf;87212027;80142281;2640;[]
209;87212027_80290346;OCESN009575F1401415093;Strasbourg;Stuttgart;87212027;80290346;6420;['Karlsruhe-Hbf']
210;87113001_87212027;OCESN009575F14014-1319854410;Paris-Est;Strasbourg;87113001;87212027;6420;[]
211;87113001_87212027;OCESN009575F23023-1320254411;Paris-Est;Strasbourg;87113001;87212027;6420;[]
212;87182014_87214056;OCESN002352F120126949;Colmar;SÃ©lestat;87182014;87214056;660;[]
213;87182014_87212027;OCESN002352F120126949;Colmar;Strasbourg;87182014;87212027;2040;['SÃ©lestat']
214;87182014_87113001;OCESN002352F120126949;Colmar;Paris-Est;87182014;87113001;9000;['SÃ©lestat', 'Strasbourg']
215;87214056_87212027;OCESN002352F120126949;SÃ©lestat;Strasbourg;87214056;87212027;1380;[]
216;87214056_87113001;OCESN002352F120126949;SÃ©lestat;Paris-Est;87214056;87113001;8340;['Strasbourg']
217;87182014_87212027;OCESN002356F100106950;Colmar;Strasbourg;87182014;87212027;1800;[]
218;87182014_87113001;OCESN002356F100106950;Colmar;Paris-Est;87182014;87113001;9060;['Strasbourg']
219;87212027_87113001;OCESN002356F100106950;Strasbourg;Paris-Est;87212027;87113001;7260;[]
220;87182014_87212027;OCESN002356F410416957;Colmar;Strasbourg;87182014;87212027;1740;[]
221;87182014_87113001;OCESN002356F410416957;Colmar;Paris-Est;87182014;87113001;9060;['Strasbourg']
