,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8,display_name,house_number,road,neighbourhood,city_district,city,municipality,county,state,country,postcode,country_code,suburb,pharmacy,footway,residential,town,state_district,address29,pedestrian,bar,hamlet,village,cycleway,attraction,pub,post_office,restaurant,convenience,aerodrome,retail,hotel,locality,public_building,newsagent,clothes,province,estate_agent,cafe,place_of_worship,arts_centre,cinema,building,fast_food,post_box,supermarket,townhall,beauty,region,bank,parking,shoes,hairdresser,museum,industrial,clinic,commercial,alcohol,marina,theatre,memorial,artwork,castle,archaeological_site,subway_entrance,bakery,bus_stop,car,information,station,house,chalet,community_centre,bay,nightclub,courthouse,mobile_phone,hostel,optician,garden_centre,school,monument,books,travel_agency,computer,butcher,dry_cleaning,bicycle,mall,doctors,furniture,university,library,tram_stop,college,caravan_site,car_rental,stadium,sports_centre,water,path,wood,pitch,recycling,shop,address26,crematorium,car_repair,kindergarten,ferry_terminal
2663,Mac's Brewbar,"5 Gore St, Auckland, 1010, Nouvelle-Zélande",-36.84392800000001,174.7694281,0,0,0,Cheapest beer,6.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gore Street, Viaduct Harbour, Auckland Central, Waitematā, Waitematā and Gulf Ward, Auckland, 1010, New Zealand",,Gore Street,Viaduct Harbour,,Waitematā,,Waitematā and Gulf Ward,Auckland,New Zealand,1010,nz,Auckland Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,Macao Bar,"17 Rue des Bons Enfants, 76000 Rouen, France",49.444894700000006,1.0879736999999998,"[17, 0]","[19, 0]",0,Cheapest beer,5.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rue des Bons Enfants, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France",,Rue des Bons Enfants,Vieux-Marché-Cathédrale,,Rouen,Rouen,Seine-Maritime,Normandie,France,76000,fr,Quartier Vieux-Marché Cathédrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,Mad Maker Pub,"22 Rue Cujas, 75005 Paris, France",48.8482658,2.3417575,"[17, 0]","[20, 0]",4,Cheapest beer,6.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22, Rue Cujas, Quartier de la Sorbonne, Paris, Île-de-France, France métropolitaine, 75006, France",22,Rue Cujas,,,Paris,Paris,Paris,Île-de-France,France,75006,fr,Quartier de la Sorbonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,Madame Claude,"Lübbener Str. 19, 10997 Berlin, Allemagne",52.4996291,13.437451300000001,0,0,1,Cheapest beer,3.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19, Lübbener Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",19,Lübbener Straße,,Friedrichshain-Kreuzberg,,,,Berlin,Deutschland,10997,de,Kreuzberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,Madame Pervenche,"9 Rue Greneta, 75003 Paris, France",48.8653031,2.3525694,"[16, 0]","[19, 30]",4,Liche,5.0,4.5,50,Triple Karmeliet,8.0,,50.0,BAPBAP Originale,7.5,,50.0,Benediktiner Weissbier,6.5,,50.0,,,,,,,,,,,,,,,,,"9, Rue Greneta, Quartier des Arts-et-Métiers, Paris, Île-de-France, France métropolitaine, 75003, France",9,Rue Greneta,,,Paris,Paris,Paris,Île-de-France,France,75003,fr,Quartier des Arts-et-Métiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,Made In Limoges,"12 Place des Bancs, 87000 Limoges, France",45.829179499999995,1.2586676,0,0,0,Grimbergen Blonde,6.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Le café 1900, 12, Place des Bancs, La Cité, Les Emailleurs, Limoges, Haute-Vienne, Nouvelle-Aquitaine, France métropolitaine, 87000, France",12,,La Cité,,Limoges,Limoges,Haute-Vienne,Nouvelle-Aquitaine,France,87000,fr,Les Emailleurs,,,,,,,Place des Bancs,,,,,,,,,,,,,,,,,,,Le café 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,Madeleine Bastille,"39 Boulevard de Bonne Nouvelle, 75010 Paris, France",48.8704874,2.3481231,"[15, 0]","[20, 0]",3,Pils du patron,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39, Boulevard de Bonne Nouvelle, Quartier de Bonne-Nouvelle, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France",39,Boulevard de Bonne Nouvelle,,Paris 2e Arrondissement,Paris,Paris,Paris,Île-de-France,France,75002,fr,Quartier de Bonne-Nouvelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,Mademoiselle Raymonde,"1 Rue Félix Ziem, 75018 Paris, France",48.88917160000001,2.3333595000000003,"[16, 0]","[22, 0]",2,Kronenbourg,5.5,5.5,50,Gallia Originale,7.0,5.5,50.0,Grimbergen Blanche,7.0,5.5,50.0,Grimbergen Blonde,,5.5,50.0,,,,,,,,,,,,,,,,,"1, Rue Félix Ziem, Quartier des Grandes-Carrières, Paris, Île-de-France, France métropolitaine, 75018, France",1,Rue Félix Ziem,,,Paris,Paris,Paris,Île-de-France,France,75018,fr,Quartier des Grandes-Carrières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,Madison,"Rue Saint-Michel, 35000 Rennes, France",48.1140518,-1.6813831999999995,0,0,4,Pelforth,4.0,,50,Triple Karmeliet,6.0,,50.0,Guinness,6.0,,50.0,La Chouffe,6.0,,50.0,,,,,,,,,,,,,,,,,"16, Rue Saint-Michel, Dinan - Saint-Malo, Centre, Quartiers Centre, Rennes, Bretagne, France métropolitaine, 35706, France",16,,Dinan - Saint-Malo,Quartiers Centre,Rennes,,,Bretagne,France,35706,fr,Centre,,,,,,,Rue Saint-Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,Madrelievito,"Carrer dels Almogàvers, 148, 08018 Barcelona, Espagne",41.3986669,2.1923293999999998,0,0,0,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148, Carrer dels Almogàvers, el Parc i la Llacuna del Poblenou, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalunya, 08018, España",148,Carrer dels Almogàvers,el Parc i la Llacuna del Poblenou,Sant Martí,Barcelona,Barcelonès,Barcelona,Catalunya,España,08018,es,el Parc i la Llacuna del Poblenou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
