,Unnamed: 0,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8,display_name,house_number,road,neighbourhood,city_district,city,municipality,county,state,country,postcode,country_code,suburb,pharmacy,footway,residential,town,state_district,address29,pedestrian,bar,hamlet,village,cycleway,attraction,pub,post_office,restaurant,convenience,aerodrome,retail,hotel,locality,public_building,newsagent,clothes,province,estate_agent,cafe,place_of_worship,arts_centre,cinema,building,fast_food,post_box,supermarket,townhall,beauty,region,bank,parking,shoes,hairdresser,museum,industrial,clinic,commercial,alcohol,marina,theatre,memorial,artwork,castle,archaeological_site,subway_entrance,bakery,bus_stop,car,information,station,house,chalet,community_centre,bay,nightclub,courthouse,mobile_phone,hostel,optician,garden_centre,school,monument,books,travel_agency,computer,butcher,dry_cleaning,bicycle,mall,doctors,furniture,university,library,tram_stop,college,caravan_site,car_rental,stadium,sports_centre,water,path,wood,pitch,recycling,shop,address26,crematorium,car_repair,kindergarten,ferry_terminal
16,18,AdriaWien,"Hollandstraße 8, 1020 Wien, Autriche",48.215232,16.376640300000002,0,0,0,Stiegl Weisse,3.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8, Hollandstraße, Karmeliterviertel, KG Leopoldstadt, Leopoldstadt, Wien, 1020, Österreich",8,Hollandstraße,Karmeliterviertel,Leopoldstadt,Wien,,,,Österreich,1020,at,KG Leopoldstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,19,Afterwork,"27 Grande Rue, 53000 Laval, France",48.0678891,-0.7706984,16,19,3,Cheapest beer,5.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"l'After Work, 27, Grande Rue, Avesnières, La Brochardière, Laval, Mayenne, Pays de la Loire, France métropolitaine, 53000, France",27,Grande Rue,Avesnières,,,Laval,Mayenne,Pays de la Loire,France,53000,fr,La Brochardière,,,,Laval,,,,l'After Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20,Agadir Bar,"197 Rue Saint-Denis, 75002 Paris, France",48.8662724,2.3508718999999996,14,20,6,Cheapest beer,3.8,3.8,50,Kronenbourg,,3.0,25.0,Leffe Blonde,5.8,,50.0,1664,3 ,,25,1664 Blanche,4 ,,33,Casablanca,5 ,,33,Duvel,5 ,,33,TBD,TBD,TBD,TBD,"197, Rue Saint-Denis, Quartier de Bonne-Nouvelle, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France",197,,,Paris 2e Arrondissement,Paris,Paris,Paris,Île-de-France,France,75002,fr,Quartier de Bonne-Nouvelle,,,,,,,Rue Saint-Denis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22,Agora Bar,"25 Rue des Tonneliers, 67000 Strasbourg, France",48.5805138,7.748802599999999,16,19,1,Cheapest beer,5.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grande Île, Rue des Moulins, La Petite France, Krutenau, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67001, France",,,La Petite France,,Strasbourg,Strasbourg,Bas-Rhin,Grand Est,France,67001,fr,Krutenau,,,,,,,Rue des Moulins,,,,,Grande Île,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,Aimé,"116 Boulevard de Ménilmontant, 75020 Paris, France",48.865682799999995,2.3846982999999997,16,21,2,Cheapest beer,7.0,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116, Boulevard de Ménilmontant, Quartier du Père-Lachaise, Paris, Île-de-France, France métropolitaine, 75020, France",116,Boulevard de Ménilmontant,,,Paris,Paris,Paris,Île-de-France,France,75020,fr,Quartier du Père-Lachaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25,Alabama Bar,"32 Rue Albert Thomas, 75010 Paris, Francia",48.8696894,2.3630317,16,19,1,Cuvée des Trolls,7.0,5.0,50,Carlsberg,6.5,5.0,50.0,Brewdog Punk IPA,9.0,5.0,50.0,La Bête,7.5 ,5 ,50,Mikkeller Milk Stout,8 ,5 ,50,Brewdog Dead Pony,7 ,,33,Kwak,6 ,,33,TBD,TBD,TBD,TBD,"Alabama, 32, Rue Albert Thomas, Quartier de la Porte-Saint-Martin, Paris, Île-de-France, France métropolitaine, 75010, France",32,Rue Albert Thomas,,,Paris,Paris,Paris,Île-de-France,France,75010,fr,Quartier de la Porte-Saint-Martin,,,,,,,,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,26,Alafût,"106 Rue Martainville, 76000 Rouen, France",49.4391292,1.1019681000000001,17,20,0,Cheapest beer,4.5,3.5,50,Mordue,6.0,5.0,50.0,Paix Dieu,7.0,6.0,50.0,La Chouffe,6 ,5 ,50,,,,,,,,,,,,,,,,,"106, Rue Martainville, Beauvoisine, Quartier Saint-Marc / Croix de Pierre / Saint-Nicaise, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France",106,Rue Martainville,Beauvoisine,,Rouen,Rouen,Seine-Maritime,Normandie,France,76000,fr,Quartier Saint-Marc / Croix de Pierre / Saint-Nicaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,27,Alaus Namai,"8, Vilnius 01108, Lithuania",54.6870458,25.2829111,0,0,1,Cheapest beer,2.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centrinis paštas, 7, Gedimino pr., Senamiesčio seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, 01103, Lietuva",7,Gedimino pr.,,,Vilnius,,,Vilniaus apskritis,Lietuva,01103,lt,Senamiesčio seniūnija,,,,,Vilniaus miesto savivaldybė,,,,,,,,,Centrinis paštas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,28,Alcazar,"8 Rue de l'Ancienne Comédie, 62200 Boulogne-sur-Mer, France",50.7222621,1.6068097,0,0,6,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'alcazar café, 6, Rue de l'Ancienne Comédie, Cite Ansart du Fiesnay, Boulogne-sur-Mer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62200, France",6,Rue de l'Ancienne Comédie,Cite Ansart du Fiesnay,,,Boulogne-sur-Mer,Pas-de-Calais,Hauts-de-France,France,62200,fr,,,,,Boulogne-sur-Mer,,,,L'alcazar café,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,29,Alchemia,"Estery 5, 33-332 Kraków, Pologne",50.0521471,19.9449342,0,0,0,Cheapest beer,2.12,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alchemia, 5, Estery, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska",5,Estery,Kazimierz,Stare Miasto,Kraków,Kraków,Kraków,województwo małopolskie,Polska,31-056,pl,Stare Miasto,,,,,,,,,,,,,Alchemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,30,Alchimia,"13 Rue Auguste Comte, 21000 Dijon, France",47.323455700000004,5.0439152,17,19,0,Cheapest beer,4.5,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13;15, Rue Auguste Comte, Faubourg Saint-Pierre, Centre-Ville, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",13;15,Rue Auguste Comte,Faubourg Saint-Pierre,,Dijon,Dijon,Côte-d'Or,Bourgogne-Franche-Comté,France,21000,fr,Centre-Ville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,31,Ale&Hop,"Carrer de les Basses de Sant Pere, 10, 08003 Barcelona, Espagne",41.388661,2.18019,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57, Carrer del Portal Nou, Santa Caterina, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08003, España",57,,Santa Caterina,Ciutat Vella,Barcelona,Barcelonès,Barcelona,Catalunya,España,08003,es,"Sant Pere, Santa Caterina i la Ribera",,,,,,,Carrer del Portal Nou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,32,Alex'S Tavern,"10 Rue Saint-Michel, 35000 Rennes, France",48.113861799999995,-1.6814069999999999,0,0,4,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10, Rue Saint-Michel, Dinan - Saint-Malo, Centre, Quartiers Centre, Rennes, Bretagne, France métropolitaine, 35706, France",10,,Dinan - Saint-Malo,Quartiers Centre,Rennes,,,Bretagne,France,35706,fr,Centre,,,,,,,Rue Saint-Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,33,Alexandre,"24 Rue de la Parcheminerie, 75005 Paris, France",48.8518461,2.3446708,10,2230,0,Cheapest beer,8.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24, Rue de la Parcheminerie, Îlot Saint-Séverin, Quartier de la Sorbonne, Paris, Île-de-France, France métropolitaine, 75005, France",24,,Îlot Saint-Séverin,,Paris,Paris,Paris,Île-de-France,France,75005,fr,Quartier de la Sorbonne,,,,,,,Rue de la Parcheminerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,34,Alhambra Bar,"8 Avenue de la République, 75011 Paris, France",48.8666532,2.3664935000000002,17,21,2,Cheapest beer,8.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8, Avenue de la République, Quartier de la Folie-Méricourt, Paris, Île-de-France, France métropolitaine, 75011, France",8,Avenue de la République,,,Paris,Paris,Paris,Île-de-France,France,75011,fr,Quartier de la Folie-Méricourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,35,Alizée,"25 Boulevard Robert Jarry, 72100 Le Mans, France",47.996215,0.1924264,0,0,0,Cheapest beer,3.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pizza Pasta, 25, Boulevard Robert Jarry, Gare Nord, Les Buttes, Le Mans, Sarthe, Pays de la Loire, France métropolitaine, 72000, France",25,Boulevard Robert Jarry,Gare Nord,,Le Mans,Le Mans,Sarthe,Pays de la Loire,France,72000,fr,,,,,,,,,,Les Buttes,,,,,,Pizza Pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,36,Aller Simple,"Rue St Jean en Isle 28, 4000 Liège, Belgique",50.641619399999996,5.5692307,0,0,0,Cheapest beer,4.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'aller Simple, 28, Rue Saint-Jean-en-Île, Le Carré, Liège, Wallonie, 4000, België - Belgique - Belgien",28,,Le Carré,,Liège,,Liège,Wallonie,België - Belgique - Belgien,4000,be,,,,,,,,Rue Saint-Jean-en-Île,L'aller Simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,37,Alt O Post,"Rue Pierre Legrand, Lille, France",50.6323113,3.0892137,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alimentation Générale, Rue Pierre Legrand, Mont de Terre, Fives, Lille, Nord, Hauts-de-France, France métropolitaine, 59042, France",,Rue Pierre Legrand,Mont de Terre,Lille,Lille,Lille,Nord,Hauts-de-France,France,59042,fr,Fives,,,,,,,,,,,,,,,,Alimentation Générale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,38,American Dream,"21 Rue Daunou, 75002 Paris-2E-Arrondissement, France",48.8700309,2.3303297,13,17,3,Cheapest beer,9.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21, Rue Daunou, Quartier Gaillon, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",21,Rue Daunou,,Paris 2e Arrondissement,Paris,Paris,Paris,Île-de-France,France,75009,fr,Quartier Gaillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,39,Americo's,"Aeroporto Internacional Amílcar Cabral, Espargos 4110, Cap-Vert",16.73879835,-22.951125574679647,0,0,1,strela,4.0,,50,super bock,4.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,"Aeroporto Amilcar, Rua dos Espargos, Hortelã, Espargos, Sal, 4110, Cabo Verde",,Rua dos Espargos,,,,,Sal,,Cabo Verde,4110,cv,Hortelã,,,,Espargos,,,,,,,,,,,,,Aeroporto Amilcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
